iter	MultiClass
0	1.71679451
1	1.637106934
2	1.573718971
3	1.526228556
44	1.49883200955	1.47100799166	1.44065982
7	1.41414612
88	1.38910557699	1.36836741
10	1.354529918
11	1.341229297
12	1.327148407
13	1.316830752
14	1.309162316
15	1.297920677
16	1.292716938
17	1.284536093
18	1.278414325
19	1.273450879
20	1.270372638
21	1.262528181
22	1.259182644
23	1.255884186
24	1.249405166
25	1.243929353
26	1.241547177
27	1.240516422
28	1.237057283
29	1.232559399
30	1.230338412
31	1.227896948
32	1.226333843
33	1.221997125
34	1.218232081
35	1.216831462
36	1.214714756
37	1.211445332
38	1.208069533
39	1.205877553
40	1.205402493
41	1.202632555
42	1.201103337
43	1.199858069
44	1.198626732
45	1.197266574
46	1.196274715
47	1.194961611
48	1.194224028
49	1.193855567
50	1.193093634
51	1.192760418
52	1.191745183
53	1.190795701
54	1.189391881
55	1.188511788
56	1.187837092
57	1.187350492
58	1.186874046
59	1.186293297
60	1.186203635
61	1.185884928
62	1.184117275
63	1.182047006
64	1.181102377
65	1.180170442
66	1.179792089
67	1.178986305
68	1.177980354
69	1.177532675
70	1.176101137
71	1.175819533
72	1.174449369
73	1.173633872
74	1.172458426
75	1.172167971
76	1.171705505
77	1.171113154
78	1.170709182
79	1.16980772
80	1.16914023
81	1.16839815
82	1.167951166
83	1.167555734
84	1.167012693
85	1.166400519
86	1.166305646
87	1.165251595
88	1.164740655
89	1.163046386
90	1.16070957
91	1.159556966
92	1.157510057
93	1.156143949
94	1.154635015
95	1.15392802
96	1.153368938
97	1.151963196
98	1.150353377
99	1.149268875
100	1.148515319
101	1.147393443
102	1.146150856
103	1.145546064
104	1.144191801
105	1.14296565
106	1.142061494
107	1.141146292
108	1.139860052
109	1.139132677
110	1.138600318
111	1.137352974
112	1.136604314
113	1.136101708
114	1.135725164
115	1.135114731
116	1.134180584
117	1.133678786
118	1.132901286
119	1.131664504
120	1.130743259
121	1.129838673
122	1.129180225
123	1.127898337
124	1.127248177
125	1.126173137
126	1.125736543
127	1.125027563
128	1.124377472
129	1.123458842
130	1.122578711
131	1.121863613
132	1.120857081
133	1.120261927
134	1.119699902
135	1.118976747
136	1.118109229
137	1.117336177
138	1.116623545
139	1.115826934
140	1.11530437
141	1.114637647
142	1.113806146
143	1.113467703
144	1.112831748
145	1.111820033
146	1.111153966
147	1.110522041
148	1.109541245
149	1.108618444
150	1.107950579
151	1.107400267
152	1.106572255
153	1.105858284
154	1.105133106
155	1.10447631
156	1.104050122
157	1.103369312
158	1.102715467
159	1.102206371
160	1.101616065
161	1.100884427
162	1.100480164
163	1.100109759
164	1.099717582
165	1.099414298
166	1.099009711
167	1.098620042
168	1.098071941
169	1.097632878
170	1.097143964
171	1.096414499
172	1.095857274
173	1.095580454
174	1.094767347
175	1.093939541
176	1.093526291
177	1.092908174
178	1.09237275
179	1.091879516
180	1.091353816
181	1.090782381
182	1.090040083
183	1.089572752
184	1.088860616
185	1.088381577
186	1.088023896
187	1.087581546
188	1.087043217
189	1.086803252
190	1.086225731
191	1.085823587
192	1.085454268
193	1.084999537
194	1.08441118
195	1.08363653
196	1.083233234
197	1.082954678
198	1.082384381
199	1.082093656
